"Product","Year","Value"
Butter,2000,89.2916666666667
Cheese,2000,92.6166666666667
Butter,2001,95.6166666666667
Cheese,2001,96.95
Butter,2002,100.008333333333
Cheese,2002,100
Butter,2003,101.85
Cheese,2003,102.891666666667
Butter,2004,102.183333333333
Cheese,2004,106.533333333333
Butter,2005,110.466666666667
Cheese,2005,113.266666666667
Butter,2006,110.925
Cheese,2006,118.483333333333
Butter,2007,113.025
Cheese,2007,123.208333333333
Butter,2008,117.708333333333
Cheese,2008,126.433333333333
Butter,2009,124.125
Cheese,2009,131.3
Butter,2010,125.591666666667
Cheese,2010,133.325
Butter,2011,129.133333333333
Cheese,2011,135.516666666667
Butter,2012,131.825
Cheese,2012,135.791666666667
Butter,2013,129.341666666667
Cheese,2013,133.833333333333
Butter,2014,128.8
Cheese,2014,131.9
Butter,2015,131.316666666667
Cheese,2015,131.55
Butter,2016,135.191666666667
Cheese,2016,127.866666666667
