"Product","Year","Value"
Butter,2000,92.9083333333333
Cheese,2000,95.7
Butter,2001,97.4333333333333
Cheese,2001,98.1333333333333
Butter,2002,100.008333333333
Cheese,2002,100
Butter,2003,104.95
Cheese,2003,103.658333333333
Butter,2004,109.75
Cheese,2004,107.8
Butter,2005,119.016666666667
Cheese,2005,113.883333333333
Butter,2006,121.558333333333
Cheese,2006,122.7
Butter,2007,123.466666666667
Cheese,2007,128.191666666667
Butter,2008,126.625
Cheese,2008,131.733333333333
Butter,2009,124.958333333333
Cheese,2009,133.75
Butter,2010,124.783333333333
Cheese,2010,133.65
Butter,2011,127.108333333333
Cheese,2011,137.208333333333
Butter,2012,127.766666666667
Cheese,2012,135.833333333333
Butter,2013,126.9
Cheese,2013,136.508333333333
Butter,2014,131.066666666667
Cheese,2014,137.45
Butter,2015,134.375
Cheese,2015,141.4
Butter,2016,138.233333333333
Cheese,2016,137.966666666667
