"Product","Year","Value"
Butter,2000,89.1416666666667
Cheese,2000,94.7666666666667
Butter,2001,92.9916666666667
Cheese,2001,97.5666666666667
Butter,2002,100
Cheese,2002,100
Butter,2003,108.225
Cheese,2003,102.3
Butter,2004,115.966666666667
Cheese,2004,103.883333333333
Butter,2005,124.7
Cheese,2005,109.458333333333
Butter,2006,125.708333333333
Cheese,2006,115.641666666667
Butter,2007,127.25
Cheese,2007,121.658333333333
Butter,2008,132.166666666667
Cheese,2008,127.1
Butter,2009,137.55
Cheese,2009,133.05
Butter,2010,137.05
Cheese,2010,133.916666666667
Butter,2011,138.6
Cheese,2011,136.191666666667
Butter,2012,142.808333333333
Cheese,2012,135.883333333333
Butter,2013,146.041666666667
Cheese,2013,135.875
Butter,2014,147.3
Cheese,2014,135.466666666667
Butter,2015,151.05
Cheese,2015,135.016666666667
Butter,2016,157.766666666667
Cheese,2016,134.733333333333
