"Product","Year","Value"
Butter,2000,93.8833333333333
Cheese,2000,96.0333333333333
Butter,2001,97.075
Cheese,2001,97.4833333333333
Butter,2002,100.008333333333
Cheese,2002,99.9833333333333
Butter,2003,103.341666666667
Cheese,2003,101.416666666667
Butter,2004,108.091666666667
Cheese,2004,104.75
Butter,2005,124.283333333333
Cheese,2005,111.9
Butter,2006,128.016666666667
Cheese,2006,115.883333333333
Butter,2007,127.716666666667
Cheese,2007,119.375
Butter,2008,130.383333333333
Cheese,2008,121.466666666667
Butter,2009,139.083333333333
Cheese,2009,124.116666666667
Butter,2010,128.616666666667
Cheese,2010,123.708333333333
Butter,2011,131.15
Cheese,2011,124.75
Butter,2012,131.575
Cheese,2012,125.525
Butter,2013,136.858333333333
Cheese,2013,125.425
Butter,2014,142.025
Cheese,2014,128.233333333333
Butter,2015,142.416666666667
Cheese,2015,130.9
Butter,2016,143.716666666667
Cheese,2016,129.075
