"Product","Year","Value"
Butter,2000,91.8583333333333
Cheese,2000,95.4583333333334
Butter,2001,95.0916666666667
Cheese,2001,97.9083333333333
Butter,2002,99.9916666666667
Cheese,2002,100
Butter,2003,103.791666666667
Cheese,2003,101.941666666667
Butter,2004,107.508333333333
Cheese,2004,104.158333333333
Butter,2005,111.966666666667
Cheese,2005,107.916666666667
Butter,2006,115.708333333333
Cheese,2006,112.341666666667
Butter,2007,117.075
Cheese,2007,117.825
Butter,2008,119.85
Cheese,2008,120.975
Butter,2009,124.908333333333
Cheese,2009,126.716666666667
Butter,2010,126.566666666667
Cheese,2010,127.641666666667
Butter,2011,126.808333333333
Cheese,2011,126.95
Butter,2012,129.791666666667
Cheese,2012,129.058333333333
Butter,2013,131.166666666667
Cheese,2013,131.216666666667
Butter,2014,135.008333333333
Cheese,2014,130.225
Butter,2015,135.166666666667
Cheese,2015,131.441666666667
Butter,2016,137.966666666667
Cheese,2016,130.633333333333
