"Product","Year","Value"
Butter,2000,88.525
Cheese,2000,95.8833333333333
Butter,2001,93.7166666666667
Cheese,2001,97.7083333333333
Butter,2002,100.008333333333
Cheese,2002,99.9916666666667
Butter,2003,107.766666666667
Cheese,2003,103.166666666667
Butter,2004,115.525
Cheese,2004,105.45
Butter,2005,123.591666666667
Cheese,2005,110.741666666667
Butter,2006,124.3
Cheese,2006,116.975
Butter,2007,128.091666666667
Cheese,2007,121.208333333333
Butter,2008,132.925
Cheese,2008,127.233333333333
Butter,2009,137.191666666667
Cheese,2009,133.966666666667
Butter,2010,138.3
Cheese,2010,134.458333333333
Butter,2011,141.941666666667
Cheese,2011,135.233333333333
Butter,2012,147.558333333333
Cheese,2012,138.183333333333
Butter,2013,149.558333333333
Cheese,2013,138.65
Butter,2014,149.775
Cheese,2014,140.3
Butter,2015,157.666666666667
Cheese,2015,140.666666666667
Butter,2016,161.808333333333
Cheese,2016,138.433333333333
