"Product","Year","Value"
Butter,2000,91.675
Cheese,2000,93.125
Butter,2001,95.2666666666667
Cheese,2001,96.3083333333333
Butter,2002,100.016666666667
Cheese,2002,99.9916666666667
Butter,2003,106.325
Cheese,2003,104.325
Butter,2004,115.741666666667
Cheese,2004,105.633333333333
Butter,2005,125.925
Cheese,2005,110.725
Butter,2006,128.016666666667
Cheese,2006,116.083333333333
Butter,2007,127.483333333333
Cheese,2007,119.533333333333
Butter,2008,133.358333333333
Cheese,2008,124.733333333333
Butter,2009,139.575
Cheese,2009,131.85
Butter,2010,140.333333333333
Cheese,2010,133.333333333333
Butter,2011,139.908333333333
Cheese,2011,132.908333333333
Butter,2012,145.466666666667
Cheese,2012,139.225
Butter,2013,146.425
Cheese,2013,141.05
Butter,2014,151.141666666667
Cheese,2014,145
Butter,2015,154.116666666667
Cheese,2015,146.533333333333
Butter,2016,163.675
Cheese,2016,141.975
