"Product","Year","Value"
Rented Accomodation,2000,96.3583333333333
Owned Accomodation,2000,98.6666666666667
Rented Accomodation,2001,97.875
Owned Accomodation,2001,99.9083333333333
Rented Accomodation,2002,100
Owned Accomodation,2002,100.008333333333
Rented Accomodation,2003,101.708333333333
Owned Accomodation,2003,101.533333333333
Rented Accomodation,2004,103.125
Owned Accomodation,2004,103.791666666667
Rented Accomodation,2005,104.55
Owned Accomodation,2005,107.575
Rented Accomodation,2006,106.25
Owned Accomodation,2006,111.308333333333
Rented Accomodation,2007,108.133333333333
Owned Accomodation,2007,117.116666666667
Rented Accomodation,2008,110.35
Owned Accomodation,2008,123.283333333333
Rented Accomodation,2009,113.05
Owned Accomodation,2009,125.941666666667
Rented Accomodation,2010,115.783333333333
Owned Accomodation,2010,125.666666666667
Rented Accomodation,2011,118.075
Owned Accomodation,2011,129.966666666667
Rented Accomodation,2012,120.533333333333
Owned Accomodation,2012,133.633333333333
Rented Accomodation,2013,122.533333333333
Owned Accomodation,2013,137.708333333333
Rented Accomodation,2014,124.566666666667
Owned Accomodation,2014,141.241666666667
Rented Accomodation,2015,126.608333333333
Owned Accomodation,2015,143.808333333333
Rented Accomodation,2016,127.941666666667
Owned Accomodation,2016,147.35
