"Product","Year","Value"
Rented Accomodation,2000,94.2083333333333
Owned Accomodation,2000,95.675
Rented Accomodation,2001,96.9166666666667
Owned Accomodation,2001,98.25
Rented Accomodation,2002,99.9916666666667
Owned Accomodation,2002,100
Rented Accomodation,2003,102.041666666667
Owned Accomodation,2003,103.116666666667
Rented Accomodation,2004,102.891666666667
Owned Accomodation,2004,106.108333333333
Rented Accomodation,2005,103.7
Owned Accomodation,2005,109.833333333333
Rented Accomodation,2006,105.808333333333
Owned Accomodation,2006,126.241666666667
Rented Accomodation,2007,112.25
Owned Accomodation,2007,145.241666666667
Rented Accomodation,2008,119.65
Owned Accomodation,2008,155.358333333333
Rented Accomodation,2009,123.091666666667
Owned Accomodation,2009,155.841666666667
Rented Accomodation,2010,122.15
Owned Accomodation,2010,155.725
Rented Accomodation,2011,122.308333333333
Owned Accomodation,2011,158.075
Rented Accomodation,2012,123.983333333333
Owned Accomodation,2012,160.175
Rented Accomodation,2013,127.15
Owned Accomodation,2013,163.25
Rented Accomodation,2014,130.916666666667
Owned Accomodation,2014,169.383333333333
Rented Accomodation,2015,133.6
Owned Accomodation,2015,173.491666666667
Rented Accomodation,2016,131.958333333333
Owned Accomodation,2016,175.85
