"Product","Year","Value"
Rented Accomodation,2000,97.3083333333333
Owned Accomodation,2000,95.9166666666666
Rented Accomodation,2001,98.3166666666667
Owned Accomodation,2001,98.75
Rented Accomodation,2002,99.9833333333333
Owned Accomodation,2002,99.9833333333333
Rented Accomodation,2003,101.558333333333
Owned Accomodation,2003,102.641666666667
Rented Accomodation,2004,102.391666666667
Owned Accomodation,2004,104.4
Rented Accomodation,2005,103.1
Owned Accomodation,2005,107.1
Rented Accomodation,2006,103.683333333333
Owned Accomodation,2006,109.45
Rented Accomodation,2007,104.158333333333
Owned Accomodation,2007,113.508333333333
Rented Accomodation,2008,105.55
Owned Accomodation,2008,122.975
Rented Accomodation,2009,108.041666666667
Owned Accomodation,2009,129
Rented Accomodation,2010,111.8
Owned Accomodation,2010,131.025
Rented Accomodation,2011,116.016666666667
Owned Accomodation,2011,135.891666666667
Rented Accomodation,2012,119.875
Owned Accomodation,2012,138.808333333333
Rented Accomodation,2013,122.675
Owned Accomodation,2013,141.966666666667
Rented Accomodation,2014,125.366666666667
Owned Accomodation,2014,144.691666666667
Rented Accomodation,2015,126.208333333333
Owned Accomodation,2015,147.583333333333
Rented Accomodation,2016,127.333333333333
Owned Accomodation,2016,152.316666666667
