"Product","Year","Value"
Rented Accomodation,2000,96.5333333333333
Owned Accomodation,2000,95.125
Rented Accomodation,2001,98.0833333333334
Owned Accomodation,2001,98.0583333333333
Rented Accomodation,2002,100
Owned Accomodation,2002,100.008333333333
Rented Accomodation,2003,101.166666666667
Owned Accomodation,2003,102.775
Rented Accomodation,2004,102.008333333333
Owned Accomodation,2004,105.608333333333
Rented Accomodation,2005,102.891666666667
Owned Accomodation,2005,109.308333333333
Rented Accomodation,2006,104.366666666667
Owned Accomodation,2006,113.5
Rented Accomodation,2007,106.55
Owned Accomodation,2007,128.191666666667
Rented Accomodation,2008,112.65
Owned Accomodation,2008,146.591666666667
Rented Accomodation,2009,119.9
Owned Accomodation,2009,151.2
Rented Accomodation,2010,125.533333333333
Owned Accomodation,2010,151.266666666667
Rented Accomodation,2011,129.525
Owned Accomodation,2011,155.708333333333
Rented Accomodation,2012,133.641666666667
Owned Accomodation,2012,159.2
Rented Accomodation,2013,137.241666666667
Owned Accomodation,2013,160.55
Rented Accomodation,2014,139.633333333333
Owned Accomodation,2014,164.316666666667
Rented Accomodation,2015,142.1
Owned Accomodation,2015,168.05
Rented Accomodation,2016,141.741666666667
Owned Accomodation,2016,170.383333333333
